direction,M,query_id,nearest_positive_ringkey_rank,exhaustive_sc_first_positive_rank,nearest_positive_distance_m,heading_difference_deg
r1_r3,100,817,570,1,0.6462390729245904,179.91586288688188
r1_r3,100,1236,265,1,2.597202807462769,168.03025655901865
r1_r3,100,1277,166,9,1.3637843136748475,176.3227744442737
r1_r3,100,1459,871,1,3.2115796676767387,179.4418978472637
r1_r3,100,1460,427,1,3.2272415906611656,179.1419330131211
r1_r3,100,1463,473,1,3.2569431402125666,178.41063437809987
r1_r3,100,1464,503,1,3.287409204575139,178.05657120344506
r1_r3,100,1465,470,1,3.3045835498893448,177.74692794730845
r1_r3,100,1466,183,1,3.31942648155547,177.3080867292602
r1_r3,100,1467,506,1,3.3374552927645005,177.89693297106345
r1_r3,100,1468,747,1,3.366462314643739,177.832784533405
r1_r3,100,1469,145,1,3.388425827094454,177.9802129484666
r1_r3,100,1493,768,1,3.3763072241098304,178.63355092988772
r1_r3,100,1494,249,1,3.375967945772531,179.06506435767471
r1_r3,100,1495,269,1,3.351692673546541,178.9826185862434
r1_r3,100,1496,587,1,3.3315533855236366,178.72185584157566
r1_r3,100,1497,463,1,3.3156453177093597,178.9216619893537
r1_r3,100,1498,520,1,3.2950357738308815,178.89138387713717
r1_r3,100,1499,361,1,3.2856782796610275,179.34178883639353
r1_r3,100,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,100,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,100,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,100,1503,104,1,3.2544157596717658,179.5596323429025
r1_r3,100,1849,315,467,4.99423520616863,76.44525336184562
r1_r3,200,305,488,4,4.654265855304922,79.53572830729397
r1_r3,200,1459,871,1,3.2115796676767387,179.4418978472637
r1_r3,200,1463,473,1,3.2569431402125666,178.41063437809987
r1_r3,200,1464,503,1,3.287409204575139,178.05657120344506
r1_r3,200,1493,768,1,3.3763072241098304,178.63355092988772
r1_r3,200,1497,463,1,3.3156453177093597,178.9216619893537
r1_r3,200,1498,520,1,3.2950357738308815,178.89138387713717
r1_r3,200,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,200,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,200,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,200,1849,315,467,4.99423520616863,76.44525336184562
r1_r3,500,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,500,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,500,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,1000,1501,2353,1,3.287648719557149,178.20605754375762
