diagnostic_type,query_keyframe_id,valid_overlap_query,candidate_available,sc_rank1_label,s1,s2,s3,margin12,margin13,top5_score_mean,top5_score_std,rank1_rank2_ratio,margin_threshold,tp,fp,fn,tn,tpr,fpr,precision,recall
per_query,148.0,True,True,SC Rank-1 correct,0.8449431,0.83474344,0.8342051,0.010199666,0.010738015,0.8362215,0.00438383,1.012219,,,,,,,,,
per_query,149.0,True,True,SC Rank-1 correct,0.83147216,0.8132418,0.806875,0.018230379,0.024597168,0.81184876,0.010396537,1.022417,,,,,,,,,
per_query,150.0,True,True,SC Rank-1 correct,0.84155065,0.8235647,0.8212337,0.01798594,0.020316958,0.8248167,0.008547446,1.0218391,,,,,,,,,
per_query,151.0,True,True,SC Rank-1 correct,0.8261607,0.8154963,0.81081736,0.010664403,0.015343368,0.8137905,0.0067814854,1.0130771,,,,,,,,,
per_query,152.0,True,True,SC Rank-1 correct,0.8402438,0.822852,0.8224724,0.0173918,0.017771423,0.82524157,0.0075769024,1.021136,,,,,,,,,
per_query,153.0,True,True,SC Rank-1 correct,0.83118707,0.8134829,0.81176794,0.017704189,0.019419134,0.8155939,0.007869784,1.0217634,,,,,,,,,
per_query,154.0,True,True,SC Rank-1 correct,0.81719995,0.81706357,0.81656027,0.00013637543,0.00063967705,0.81498754,0.0024205954,1.0001669,,,,,,,,,
per_query,155.0,True,True,SC Rank-1 correct,0.82525766,0.8128679,0.81233245,0.012389779,0.012925208,0.8138504,0.0058956426,1.0152421,,,,,,,,,
per_query,156.0,True,True,SC Rank-1 correct,0.8335041,0.82941025,0.8263736,0.004093826,0.0071305037,0.82806766,0.0030714062,1.0049359,,,,,,,,,
per_query,157.0,True,True,SC Rank-1 correct,0.82625383,0.8234433,0.822634,0.0028105378,0.0036198497,0.8230853,0.0017414525,1.0034132,,,,,,,,,
per_query,158.0,True,True,SC Rank-1 correct,0.82685804,0.82670593,0.82387215,0.00015211105,0.0029858947,0.824304,0.0022435454,1.0001839,,,,,,,,,
per_query,159.0,True,True,SC Rank-1 correct,0.8400057,0.83668655,0.83322406,0.0033191442,0.0067816377,0.8351177,0.0028413679,1.003967,,,,,,,,,
per_query,160.0,True,True,SC Rank-1 correct,0.848514,0.84756887,0.8453345,0.00094515085,0.0031795502,0.846064,0.0016903849,1.0011151,,,,,,,,,
per_query,161.0,True,True,SC Rank-1 correct,0.84280765,0.8425848,0.84222907,0.00022286177,0.0005785823,0.8421919,0.0004672666,1.0002645,,,,,,,,,
per_query,162.0,True,True,SC Rank-1 correct,0.8331496,0.83195114,0.8303795,0.0011984706,0.0027701259,0.83100957,0.0013386569,1.0014405,,,,,,,,,
per_query,163.0,True,True,SC Rank-1 correct,0.8345335,0.83452445,0.8333178,9.059906e-06,0.0012156963,0.83352983,0.00085280114,1.0000108,,,,,,,,,
per_query,164.0,True,True,SC Rank-1 correct,0.83749115,0.83737296,0.8339204,0.00011819601,0.0035707355,0.83479583,0.0022067123,1.0001411,,,,,,,,,
