row_type,query_keyframe_id,valid_overlap_query,sc_rank1_correct,best_shift,raw_shift_deg,sc_yaw_proxy_deg,gt_heading_deg,absolute_error_deg,cohort,count,mae_deg,median_ae_deg,p90_ae_deg,pearson,spearman,proxy_gate_pass
per_query,113.0,True,True,0.0,0.0,0.0,0.3109944723483693,0.3109944723483693,,,,,,,,
per_query,114.0,True,True,0.0,0.0,0.0,0.2991848336429541,0.2991848336429541,,,,,,,,
per_query,115.0,True,True,0.0,0.0,0.0,0.010032158659356583,0.010032158659356583,,,,,,,,
per_query,116.0,True,True,0.0,0.0,0.0,0.008981923113964285,0.008981923113964285,,,,,,,,
per_query,117.0,True,True,0.0,0.0,0.0,0.00761459287099342,0.00761459287099342,,,,,,,,
per_query,118.0,True,True,0.0,0.0,0.0,0.015358163972052807,0.015358163972052807,,,,,,,,
per_query,119.0,True,True,0.0,0.0,0.0,0.006825649263362266,0.006825649263362266,,,,,,,,
per_query,120.0,True,True,0.0,0.0,0.0,0.008763951162620742,0.008763951162620742,,,,,,,,
per_query,121.0,True,True,0.0,0.0,0.0,0.006976483965132729,0.006976483965132729,,,,,,,,
per_query,122.0,True,True,0.0,0.0,0.0,0.019043100208335773,0.019043100208335773,,,,,,,,
per_query,123.0,True,True,0.0,0.0,0.0,0.002724514523038124,0.002724514523038124,,,,,,,,
per_query,124.0,True,True,0.0,0.0,0.0,0.016705660255240673,0.016705660255240673,,,,,,,,
per_query,125.0,True,True,0.0,0.0,0.0,0.12349070045746657,0.12349070045746657,,,,,,,,
per_query,126.0,True,True,0.0,0.0,0.0,2.0091506382484,2.0091506382484,,,,,,,,
per_query,127.0,True,True,0.0,0.0,0.0,0.23120184205262717,0.23120184205262717,,,,,,,,
per_query,128.0,True,True,0.0,0.0,0.0,1.5138088239270928,1.5138088239270928,,,,,,,,
per_query,129.0,True,True,0.0,0.0,0.0,1.472068612696006,1.472068612696006,,,,,,,,
per_query,130.0,True,True,59.0,354.0,6.0,1.700764496950427,4.299235503049573,,,,,,,,
per_query,131.0,True,True,0.0,0.0,0.0,1.4973457542773474,1.4973457542773474,,,,,,,,
